dob,external_id,images,name_full_latin,name_full_local,name_given_latin,name_given_local,nationality,person_id,team_name,entity_id,fixture_id
1992-06-30,269,"[{'added': '2024-08-19T06:20:25', 'baseId': '502a73d1-3953-11ef-86c4-a9530db97767', 'baseType': 'PERSON', 'fileType': 'PNG', 'imageId': '1f5ad130-5df3-11ef-b6b4-d7a91ab3bf96', 'imageType': 'PERSON_HEAD', 'maximumHeight': 1024, 'maximumWidth': 1024, 'organization': {'id': 'h1s44', 'resourceType': 'organizations'}, 'organizationId': 'h1s44', 'rating': 'MEDIUM', 'secondaryType': None, 'updated': '2025-08-14T12:16:42', 'url': 'https://images.dc.prod.cloud.atriumsports.com/h1s44/ed041d0a68194b099d691cca0232bab9'}, {'added': '2024-08-19T06:08:06', 'baseId': '502a73d1-3953-11ef-86c4-a9530db97767', 'baseType': 'PERSON', 'fileType': 'PNG', 'imageId': '66dced73-5df1-11ef-9912-d5fcf24323da', 'imageType': 'PERSON_WAIST', 'maximumHeight': 1000, 'maximumWidth': 750, 'organization': {'id': 'h1s44', 'resourceType': 'organizations'}, 'organizationId': 'h1s44', 'rating': 'MEDIUM', 'secondaryType': None, 'updated': '2025-08-12T06:38:02', 'url': 'https://images.dc.prod.cloud.atriumsports.com/h1s44/586d1b14877f4fcfa79893fc7cda7932'}]",Lukas Binder,Lukas Binder,Lukas,Lukas,DEU,502a73d1-3953-11ef-86c4-a9530db97767,SC DHfK Leipzig,feace61d-3952-11ef-ae23-af5c55c3771d,d236ce04-5ca5-11f0-b4f5-d5cc39e1dd13
1997-07-05,273,"[{'added': '2024-08-19T06:19:57', 'baseId': '503be211-3953-11ef-8766-a9530db97767', 'baseType': 'PERSON', 'fileType': 'PNG', 'imageId': '0e5f750c-5df3-11ef-abdc-4d60f35ee93b', 'imageType': 'PERSON_WAIST', 'maximumHeight': 1000, 'maximumWidth': 750, 'organization': {'id': 'h1s44', 'resourceType': 'organizations'}, 'organizationId': 'h1s44', 'rating': 'MEDIUM', 'secondaryType': None, 'updated': '2025-08-12T06:38:38', 'url': 'https://images.dc.prod.cloud.atriumsports.com/h1s44/ade32c692f774e7c94ced1ec3ce219df'}, {'added': '2024-10-24T09:36:43', 'baseId': '503be211-3953-11ef-8766-a9530db97767', 'baseType': 'PERSON', 'fileType': 'PNG', 'imageId': '7a7cfc3b-91eb-11ef-a5d8-1da620e05382', 'imageType': 'PERSON_HEAD', 'maximumHeight': 1024, 'maximumWidth': 1024, 'organization': {'id': 'h1s44', 'resourceType': 'organizations'}, 'organizationId': 'h1s44', 'rating': 'MEDIUM', 'secondaryType': None, 'updated': '2025-08-14T12:17:36', 'url': 'https://images.dc.prod.cloud.atriumsports.com/h1s44/137f9068af55429abe8acf8a94f8c25e'}]",Franz Semper,Franz Semper,Franz,Franz,DEU,503be211-3953-11ef-8766-a9530db97767,SC DHfK Leipzig,feace61d-3952-11ef-ae23-af5c55c3771d,d236ce04-5ca5-11f0-b4f5-d5cc39e1dd13
1995-02-22,288,"[{'added': '2024-08-19T06:21:14', 'baseId': '5084e9f9-3953-11ef-9557-a9530db97767', 'baseType': 'PERSON', 'fileType': 'PNG', 'imageId': '3ca7aa96-5df3-11ef-9d8e-af975b2be241', 'imageType': 'PERSON_HEAD', 'maximumHeight': 1024, 'maximumWidth': 1024, 'organization': {'id': 'h1s44', 'resourceType': 'organizations'}, 'organizationId': 'h1s44', 'rating': 'MEDIUM', 'secondaryType': None, 'updated': '2025-08-14T12:17:42', 'url': 'https://images.dc.prod.cloud.atriumsports.com/h1s44/c8b33b0ee88541f59fc0908efad93c84'}, {'added': '2024-08-19T06:19:32', 'baseId': '5084e9f9-3953-11ef-9557-a9530db97767', 'baseType': 'PERSON', 'fileType': 'PNG', 'imageId': 'ff9f25ae-5df2-11ef-b581-7d5e37d2ff5a', 'imageType': 'PERSON_WAIST', 'maximumHeight': 1000, 'maximumWidth': 750, 'organization': {'id': 'h1s44', 'resourceType': 'organizations'}, 'organizationId': 'h1s44', 'rating': 'MEDIUM', 'secondaryType': None, 'updated': '2025-08-12T06:38:44', 'url': 'https://images.dc.prod.cloud.atriumsports.com/h1s44/af5f3196e1c14ed7a38ab7b6b796f439'}]",Moritz Preuss,Moritz Preuss,Moritz,Moritz,DEU,5084e9f9-3953-11ef-9557-a9530db97767,SC DHfK Leipzig,feace61d-3952-11ef-ae23-af5c55c3771d,d236ce04-5ca5-11f0-b4f5-d5cc39e1dd13
2003-10-11,28982,"[{'added': '2025-08-19T06:45:11', 'baseId': '59de589a-7111-11f0-b122-5b5b2ef5c7fa', 'baseType': 'PERSON', 'fileType': 'PNG', 'imageId': '0e02a7fb-7cc8-11f0-9945-478155bd67c2', 'imageType': 'PERSON_HEAD', 'maximumHeight': 1024, 'maximumWidth': 1024, 'organization': {'id': 'h1s44', 'resourceType': 'organizations'}, 'organizationId': 'h1s44', 'secondaryType': None, 'updated': '2025-08-19T06:45:11', 'url': 'https://images.dc.prod.cloud.atriumsports.com/h1s44/fdff721cab5045f49837de5b9b2994d6'}, {'added': '2025-08-19T06:45:20', 'baseId': '59de589a-7111-11f0-b122-5b5b2ef5c7fa', 'baseType': 'PERSON', 'fileType': 'PNG', 'imageId': '13473e03-7cc8-11f0-92e4-49e409727390', 'imageType': 'PERSON_WAIST', 'maximumHeight': 1000, 'maximumWidth': 750, 'organization': {'id': 'h1s44', 'resourceType': 'organizations'}, 'organizationId': 'h1s44', 'secondaryType': None, 'updated': '2025-08-19T06:45:20', 'url': 'https://images.dc.prod.cloud.atriumsports.com/h1s44/0dd44d02b06e4dffba570215275ea51e'}]",Felix Aellen,Felix Aellen,Felix,Felix,CHE,59de589a-7111-11f0-b122-5b5b2ef5c7fa,ThSV Eisenach,fef51771-3952-11ef-97b4-af5c55c3771d,d236ce04-5ca5-11f0-b4f5-d5cc39e1dd13
1994-04-27,565,"[{'added': '2024-08-09T12:56:16', 'baseId': '5d10c4bb-3953-11ef-80c8-a9530db97767', 'baseType': 'PERSON', 'fileType': 'PNG', 'imageId': 'c3ef282a-564e-11ef-8913-c9a70ff198e1', 'imageType': 'PERSON_WAIST', 'maximumHeight': 1000, 'maximumWidth': 750, 'organization': {'id': 'h1s44', 'resourceType': 'organizations'}, 'organizationId': 'h1s44', 'rating': 'MEDIUM', 'secondaryType': None, 'updated': '2025-08-14T12:46:21', 'url': 'https://images.dc.prod.cloud.atriumsports.com/h1s44/5c1a51184cab4b21a0614fd77f298770'}, {'added': '2024-08-09T13:33:23', 'baseId': '5d10c4bb-3953-11ef-80c8-a9530db97767', 'baseType': 'PERSON', 'fileType': 'PNG', 'imageId': 'f32efe01-5653-11ef-9bcd-075fc23a0d3e', 'imageType': 'PERSON_HEAD', 'maximumHeight': 1024, 'maximumWidth': 1024, 'organization': {'id': 'h1s44', 'resourceType': 'organizations'}, 'organizationId': 'h1s44', 'rating': 'MEDIUM', 'secondaryType': None, 'updated': '2025-08-14T12:46:18', 'url': 'https://images.dc.prod.cloud.atriumsports.com/h1s44/5bd97f9005a841908de9425a3f3667fa'}]",Peter Walz,Peter Walz,Peter,Peter,DEU,5d10c4bb-3953-11ef-80c8-a9530db97767,ThSV Eisenach,fef51771-3952-11ef-97b4-af5c55c3771d,d236ce04-5ca5-11f0-b4f5-d5cc39e1dd13
2002-04-26,28755,"[{'added': '2024-10-04T12:27:31', 'baseId': '6c9aaf7b-6c37-11ef-aaac-a1111852e8bc', 'baseType': 'PERSON', 'fileType': 'PNG', 'imageId': '06de9f41-824c-11ef-b4cb-bb9d7a1de8e4', 'imageType': 'PERSON_HEAD', 'maximumHeight': 1024, 'maximumWidth': 1024, 'organization': {'id': 'h1s44', 'resourceType': 'organizations'}, 'organizationId': 'h1s44', 'rating': 'MEDIUM', 'secondaryType': None, 'updated': '2025-08-14T12:46:31', 'url': 'https://images.dc.prod.cloud.atriumsports.com/h1s44/8c4499d2903c495c990fd268673840d5'}, {'added': '2024-10-04T12:27:34', 'baseId': '6c9aaf7b-6c37-11ef-aaac-a1111852e8bc', 'baseType': 'PERSON', 'fileType': 'PNG', 'imageId': '08b8800c-824c-11ef-ae9e-a1908362e817', 'imageType': 'PERSON_WAIST', 'maximumHeight': 1000, 'maximumWidth': 750, 'organization': {'id': 'h1s44', 'resourceType': 'organizations'}, 'organizationId': 'h1s44', 'rating': 'MEDIUM', 'secondaryType': None, 'updated': '2025-08-14T12:46:29', 'url': 'https://images.dc.prod.cloud.atriumsports.com/h1s44/bd0974dfc963424289d76046964552f2'}]",Gian Attenhofer,Gian Attenhofer,Gian,Gian,CHE,6c9aaf7b-6c37-11ef-aaac-a1111852e8bc,ThSV Eisenach,fef51771-3952-11ef-97b4-af5c55c3771d,d236ce04-5ca5-11f0-b4f5-d5cc39e1dd13
2000-02-12,28983,"[{'added': '2025-08-14T12:46:53', 'baseId': '72b0904d-7112-11f0-85e4-bf080c617e35', 'baseType': 'PERSON', 'fileType': 'PNG', 'imageId': 'c160dcdb-790c-11f0-8041-2326f7883680', 'imageType': 'PERSON_HEAD', 'maximumHeight': 1024, 'maximumWidth': 1024, 'organization': {'id': 'h1s44', 'resourceType': 'organizations'}, 'organizationId': 'h1s44', 'secondaryType': None, 'updated': '2025-08-14T12:46:53', 'url': 'https://images.dc.prod.cloud.atriumsports.com/h1s44/3e4179eec3f847fdbcfe94ba96e51c0c'}, {'added': '2025-08-14T12:46:57', 'baseId': '72b0904d-7112-11f0-85e4-bf080c617e35', 'baseType': 'PERSON', 'fileType': 'PNG', 'imageId': 'c3558222-790c-11f0-97d8-d32775d49d0e', 'imageType': 'PERSON_WAIST', 'maximumHeight': 1000, 'maximumWidth': 750, 'organization': {'id': 'h1s44', 'resourceType': 'organizations'}, 'organizationId': 'h1s44', 'secondaryType': None, 'updated': '2025-08-14T12:46:57', 'url': 'https://images.dc.prod.cloud.atriumsports.com/h1s44/c5425f9ce52f4431b50e8c168c4b421c'}]",Oskar Joelsson,Oskar Joelsson,Oskar,Oskar,SWE,72b0904d-7112-11f0-85e4-bf080c617e35,ThSV Eisenach,fef51771-3952-11ef-97b4-af5c55c3771d,d236ce04-5ca5-11f0-b4f5-d5cc39e1dd13
1994-04-26,7317,"[{'added': '2024-08-19T06:20:32', 'baseId': '7497dd59-3954-11ef-89aa-bdf3bafad9bd', 'baseType': 'PERSON', 'fileType': 'PNG', 'imageId': '23a79b24-5df3-11ef-80ec-073f79b2b006', 'imageType': 'PERSON_HEAD', 'maximumHeight': 1024, 'maximumWidth': 1024, 'organization': {'id': 'h1s44', 'resourceType': 'organizations'}, 'organizationId': 'h1s44', 'rating': 'MEDIUM', 'secondaryType': None, 'updated': '2025-08-14T12:17:48', 'url': 'https://images.dc.prod.cloud.atriumsports.com/h1s44/b66d3a4a4a694fd28c4dbd26d23181df'}, {'added': '2024-08-19T06:08:12', 'baseId': '7497dd59-3954-11ef-89aa-bdf3bafad9bd', 'baseType': 'PERSON', 'fileType': 'PNG', 'imageId': '6a6e5420-5df1-11ef-b5cb-1318ae40c5c3', 'imageType': 'PERSON_WAIST', 'maximumHeight': 1000, 'maximumWidth': 750, 'organization': {'id': 'h1s44', 'resourceType': 'organizations'}, 'organizationId': 'h1s44', 'rating': 'MEDIUM', 'secondaryType': None, 'updated': '2025-08-12T06:38:55', 'url': 'https://images.dc.prod.cloud.atriumsports.com/h1s44/69221958f0bb4e479f6c0bc0afcd359a'}]",Domenico Ebner,Domenico Ebner,Domenico,Domenico,ITA,7497dd59-3954-11ef-89aa-bdf3bafad9bd,SC DHfK Leipzig,feace61d-3952-11ef-ae23-af5c55c3771d,d236ce04-5ca5-11f0-b4f5-d5cc39e1dd13
1999-12-10,8367,"[{'added': '2024-08-09T13:13:13', 'baseId': '8987685d-3954-11ef-b881-a919af319ee5', 'baseType': 'PERSON', 'fileType': 'PNG', 'imageId': '2246586f-5651-11ef-a2c6-bd9d63d710f2', 'imageType': 'PERSON_WAIST', 'maximumHeight': 1000, 'maximumWidth': 750, 'organization': {'id': 'h1s44', 'resourceType': 'organizations'}, 'organizationId': 'h1s44', 'rating': 'MEDIUM', 'secondaryType': None, 'updated': '2025-08-14T12:47:11', 'url': 'https://images.dc.prod.cloud.atriumsports.com/h1s44/7a9b497b09d24f3191a45f13da085ba0'}, {'added': '2024-08-09T13:31:51', 'baseId': '8987685d-3954-11ef-b881-a919af319ee5', 'baseType': 'PERSON', 'fileType': 'PNG', 'imageId': 'bc4441d4-5653-11ef-ae11-c9f34aebc2bb', 'imageType': 'PERSON_HEAD', 'maximumHeight': 1024, 'maximumWidth': 1024, 'organization': {'id': 'h1s44', 'resourceType': 'organizations'}, 'organizationId': 'h1s44', 'rating': 'MEDIUM', 'secondaryType': None, 'updated': '2025-08-14T12:47:08', 'url': 'https://images.dc.prod.cloud.atriumsports.com/h1s44/16120ce1072246bb87d066ddf2dcd001'}]",Moritz Ende,Moritz Ende,Moritz,Moritz,DEU,8987685d-3954-11ef-b881-a919af319ee5,ThSV Eisenach,fef51771-3952-11ef-97b4-af5c55c3771d,d236ce04-5ca5-11f0-b4f5-d5cc39e1dd13
1998-05-30,8448,"[{'added': '2024-08-09T13:52:56', 'baseId': '89fe4d53-3954-11ef-b29b-a919af319ee5', 'baseType': 'PERSON', 'fileType': 'PNG', 'imageId': 'ae69254d-5656-11ef-b68c-cffa046e1cf5', 'imageType': 'PERSON_HEAD', 'maximumHeight': 1024, 'maximumWidth': 1024, 'organization': {'id': 'h1s44', 'resourceType': 'organizations'}, 'organizationId': 'h1s44', 'rating': 'MEDIUM', 'secondaryType': None, 'updated': '2025-08-14T12:47:18', 'url': 'https://images.dc.prod.cloud.atriumsports.com/h1s44/3bf73efabb7f40efa062db38aab8d540'}, {'added': '2024-08-09T13:48:03', 'baseId': '89fe4d53-3954-11ef-b29b-a919af319ee5', 'baseType': 'PERSON', 'fileType': 'PNG', 'imageId': 'ffad1044-5655-11ef-bbe6-c7c5a0b3ca07', 'imageType': 'PERSON_WAIST', 'maximumHeight': 1000, 'maximumWidth': 750, 'organization': {'id': 'h1s44', 'resourceType': 'organizations'}, 'organizationId': 'h1s44', 'rating': 'MEDIUM', 'secondaryType': None, 'updated': '2025-08-14T12:47:21', 'url': 'https://images.dc.prod.cloud.atriumsports.com/h1s44/217d1fe6c34b47dea442b17c09795e89'}]",Vincent Büchner,Vincent Büchner,Vincent,Vincent,DEU,89fe4d53-3954-11ef-b29b-a919af319ee5,ThSV Eisenach,fef51771-3952-11ef-97b4-af5c55c3771d,d236ce04-5ca5-11f0-b4f5-d5cc39e1dd13
